"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 84/100 | Cost: 9635 | Time: 1064 ms
  Iteracja 85/100 | Cost: 9497 | Time: 822 ms
  Iteracja 86/100 | Cost: 9381 | Time: 1055 ms
  Iteracja 87/100 | Cost: 9397 | Time: 1203 ms
  Iteracja 88/100 | Cost: 9545 | Time: 863 ms
  Iteracja 89/100 | Cost: 9476 | Time: 1010 ms
  Iteracja 90/100 | Cost: 9585 | Time: 1327 ms
  Iteracja 91/100 | Cost: 9650 | Time: 1199 ms
  Iteracja 92/100 | Cost: 9449 | Time: 1062 ms
  Iteracja 93/100 | Cost: 9445 | Time: 1386 ms
  Iteracja 94/100 | Cost: 9457 | Time: 1291 ms
  Iteracja 95/100 | Cost: 9657 | Time: 763 ms
  Iteracja 96/100 | Cost: 9696 | Time: 1001 ms
  Iteracja 97/100 | Cost: 9610 | Time: 852 ms
  Iteracja 98/100 | Cost: 9511 | Time: 1097 ms
  Iteracja 99/100 | Cost: 9694 | Time: 1084 ms
  Iteracja 100/100 | Cost: 9381 | Time: 1198 ms

Podsumowanie dla "qa194.tsp":
  Algorytm:     Genetic_PMX
  Average Cost: 9523
  Best Cost:    9352
  Saved best solution to: dataSol/qa194Genetic_PMX.sol
"data/tz6117.tsp"
"data/uy734.tsp"
==================================================
File: "uy734.tsp" (Vertices: 734)
Running Genetic_PMX with 100 iterations...
  Iteracja 1/100 | Cost: 85316 | Time: 24221 ms
  Iteracja 2/100 | Cost: 84822 | Time: 24106 ms
  Iteracja 3/100 | Cost: 85222 | Time: 23171 ms
  Iteracja 4/100 | Cost: 85519 | Time: 25660 ms
  Iteracja 5/100 | Cost: 84971 | Time: 28643 ms
  Iteracja 6/100 | Cost: 85416 | Time: 26789 ms
  Iteracja 7/100 | Cost: 85743 | Time: 23331 ms
  Iteracja 8/100 | Cost: 85967 | Time: 23020 ms
  Iteracja 9/100 | Cost: 83933 | Time: 26173 ms
  Iteracja 10/100 | Cost: 85182 | Time: 24840 ms
  Iteracja 11/100 | Cost: 85269 | Time: 26373 ms
  Iteracja 12/100 | Cost: 86056 | Time: 24238 ms
  Iteracja 13/100 | Cost: 85156 | Time: 24461 ms
  Iteracja 14/100 | Cost: 84930 | Time: 23248 ms
  Iteracja 15/100 | Cost: 83963 | Time: 24586 ms
  Iteracja 16/100 | Cost: 83910 | Time: 26220 ms
  Iteracja 17/100 | Cost: 84797 | Time: 24883 ms
  Iteracja 18/100 | Cost: 85638 | Time: 24227 ms
  Iteracja 19/100 | Cost: 85133 | Time: 23909 ms
  Iteracja 20/100 | Cost: 85619 | Time: 26090 ms
  Iteracja 21/100 | Cost: 85085 | Time: 25266 ms
  Iteracja 22/100 | Cost: 84458 | Time: 25090 ms
  Iteracja 23/100 | Cost: 85880 | Time: 22920 ms
  Iteracja 24/100 | Cost: 85458 | Time: 24316 ms
  Iteracja 25/100 | Cost: 84344 | Time: 26923 ms
  Iteracja 26/100 | Cost: 83411 | Time: 30587 ms
  Iteracja 27/100 | Cost: 85569 | Time: 26611 ms
  Iteracja 28/100 | Cost: 84883 | Time: 24568 ms
  Iteracja 29/100 | Cost: 86210 | Time: 24735 ms
  Iteracja 30/100 | Cost: 85102 | Time: 25650 ms
  Iteracja 31/100 | Cost: 85486 | Time: 25859 ms
  Iteracja 32/100 | Cost: 85398 | Time: 25034 ms
  Iteracja 33/100 | Cost: 85062 | Time: 24319 ms
  Iteracja 34/100 | Cost: 85174 | Time: 24422 ms
  Iteracja 35/100 | Cost: 84498 | Time: 24735 ms
  Iteracja 36/100 | Cost: 85246 | Time: 27794 ms
